realsalingvolume,avgprice,commentnum,commercialarea,creditcardnum,facilityservices_breakfast,facilityservices_familysuite,facilityservices_queenroom,facilityservices_twinroom,facilityservices_parkinglot,facilityservices_swimpool,facilityservices_pickup,facilityservices_gym,facilityservices_airportshuttle,facilityservices_grandopen,facilityservices_pet,trait_gardenarchitecture,trait_lakeview,trait_leisurevacation,trait_parentingtime,trait_romanticlovers,trait_businesstrip,trait_conferencehotel,trait_department,trait_inn,trait_youthhostel,trait_boutiquehotel,trait_designedhotel,trait_hotspringhotel,trait_traditionalhotel,trait_deliciousfood,trait_plumfragrance,id,lat,lng,name,openingtime,roomnum,picturenum,rstar,grade,distance_to_railway_station,distance_to_north_railway_station,distance_to_downtown,trip,scenery_5km,scenery_3km,scenery_1km,subway,scenic spot,beautifulscenery,lane,environment,sea,nightlif,location,busstation,railwaystation,tranquility,transportation,view,General,Services,Roomamenities,Activities,surroundfacility,timestatistic,meishi,theater,recreation,lady,openinglong
18,170,23,同里古镇内,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1047632,31.162508012294,,同里锦云客栈,2014-07,2,11,2,0,31.6,39.3,28.5,0,5153,5153,4650,0,1402.0,0,26.0,3524.0,0,816.0,4098.0,0,0,2226.0,0,310.0,4,4,10,0,0,13,112297,0,810,0,999
23,168,43,苏州新区,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815610,31.260620971986,,苏州华杰宾馆,2014-05,18,15,2,1.5,14.5,27.5,7.5,0,6482,659,0,0,0,0,0,70.0,0,0,0,0,0,0,0,0,8,8,17,0,2,27,504197,0,9511,47742,3
7789,812,1519,石路商业区,3,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1289964,31.322445944322,,苏州文旅花间堂·山塘人家,2014-10,28,313,6,4,3.0,17.8,4.0,1,32948,21730,2075,0,292.0,0,0,2338.0,0,342.0,3146.0,0,0,1308.0,646.0,0,15,22,40,4,4,858,145277,0,36983,16121,1
9,142,31,十全街地区,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687694,31.297641381017,,苏州馨悦宾馆,2014-04,18,32,2,1.5,7.4,19.5,6.0,0,25361,7063,731,0,0,0,0,0,0,0,502.0,0,0,222.0,0,0,2,3,20,0,3,13,1607,0,966,0,3
217,132,71,观前街地区（市中心）,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359915,31.317725116324,,苏州春泉宾馆,2014-12,20,32,2,1.5,6.7,16.2,6.5,0,26182,19308,2972,0,0,0,0,488.0,0,14.0,784.0,0,0,230.0,0,0,2,0,10,0,5,54,179176,0,0,3483,15
114,145,70,同里古镇外,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738083,31.156694240565,,同里迎燕商务宾馆,2014-01,52,39,2,1.5,32.0,39.8,28.9,0,5153,4878,4559,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,7,34,100,0,0,0,4
33,328,3,太湖风景区,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2215905,31.07168956579,,苏州西山锦湖饭店,unknown,12,10,2,2,52.6,63.9,47.6,0,659,616,141,0,0,36.0,0,30.0,0,12.0,60.0,0,0,32.0,0,20.0,4,3,0,0,0,0,672,0,0,0,999
566,246,290,观前街地区（市中心）,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687218,31.313020324446,,格林豪泰（苏州观前养育巷地铁站店）,2014-02,133,49,2,1.5,5.0,18.0,3.8,0,33076,25698,544,1406.0,0,0,0,54.0,0,0,1494.0,0,0,0,2202.0,0,7,7,26,0,5,216,182,0,13068,3456,5
11,92,9,观前街地区（市中心）,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771714,31.321786677196,,苏州经纬招待所,unknown,30,15,2,0,3.8,16.3,5.6,0,30674,23308,5154,0,0,0,0,480.0,0,0,3926.0,0,0,0,1454.0,0,2,2,7,0,5,0,65475,0,135996,392,23
36,504,17,太湖风景区,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738085,31.114153102155,,苏州家园农家乐饭店,2014-02,11,55,2,0,53.1,64.5,48.1,0,732,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,2,0,5,0,0,0,0,7
175,135,142,火车站地区,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1228562,31.336794805457,,苏州微.com青年旅社,2014-07,20,20,2,1.5,1.0,16.5,5.7,0,32317,23421,29,0,0,0,0,0,0,0,0,0,110.0,0,0,0,6,7,14,0,3,101,6447,0,0,0,2
